,Position,Total,Remain
0,榮星花園,32,1
1,捷運行天宮站(1號出口),32,1
2,捷運行天宮站(3號出口),20,0
3,建國農安街口,44,10
4,建國長春路口,16,4
5,八德市場,26,12
6,林森公園,32,12
7,中山行政中心,30,11
8,新生長安路口,30,10
9,新生長春路口,36,18
10,市立美術館,36,7
11,林安泰古厝,36,13
12,捷運劍南路站(2號出口),68,43
13,龍江南京路口,66,0
14,捷運中山國小站(4號出口),70,25
15,捷運松江南京站(7號出口),38,29
16,興安華城,60,22
17,劍潭社區,42,22
18,捷運大直站(3號出口),30,1
19,市民林森路口,30,2
20,樂群二敬業四路口,42,6
21,北安大直街口,50,22
22,培英公園,42,14
23,撫順公園,30,5
24,南京建國路口,30,10
25,復興市民路口,36,18
26,捷運中山國中站,44,9
27,南京遼寧街口,26,11
28,伊通長安路口,16,5
29,松江公園,20,1
30,第二果菜批發市場,24,16
31,新生公園,26,7
32,朱崙商場,24,8
33,林森長春路口,28,6
34,國立臺北大學(臺北校區),32,15
35,民族林森路口,38,4
36,永盛公園(民生東路一段23巷),30,8
37,新興公園,26,4
38,一江公園,20,16
39,樂群二明水路口,34,15
40,民族玉門街口,34,6
41,捷運中山站(2號出口),34,6
42,民權建國路口,44,11
43,民生建國路口,18,4
44,錦州吉林路口,30,14
45,南京新生路口,24,18
